prot_organism_1	prot_organism_2	bit-score
NP_009777.1	XP_011508946.1	50.1
NP_009777.1	XP_011508946.1	42.4
NP_011467.1	NP_054828.2	197.0
NP_009642.3	NP_057100.1	64.7
NP_009642.3	NP_036272.2	57.8
NP_009642.3	NP_036272.2	52.4
NP_009642.3	NP_036272.2	42.0
NP_012611.1	NP_057100.1	51.6
NP_012611.1	NP_057100.1	41.2
NP_012611.1	NP_057100.1	35.4
NP_012611.1	NP_036272.2	48.1
NP_012611.1	NP_036272.2	38.1
NP_012611.1	XP_005266130.1	30.8
NP_012485.1	NP_056175.3	1106.0
NP_011766.3	XP_016878827.1	39.7
NP_011766.3	XP_016878827.1	33.9
NP_011766.3	NP_037418.3	35.8
NP_015187.1	NP_006609.3	33.9
NP_015187.1	NP_006609.3	32.3
NP_009403.1	NP_055317.1	50.4
NP_009403.1	NP_055317.1	38.1
NP_009403.1	XP_016880190.1	37.0
NP_009403.1	XP_016880190.1	31.6
NP_009403.1	XP_011543873.1	35.4
NP_009403.1	XP_011543873.1	35.0
NP_009403.1	XP_016874612.1	35.0
NP_015321.1	XP_016861647.1	30.8
NP_009445.2	NP_004841.2	177.0
NP_009445.2	NP_113605.2	144.0
NP_009445.2	XP_011530593.1	109.0
NP_009445.2	NP_003567.2	107.0
NP_009445.2	NP_006866.2	75.1
NP_009445.2	XP_006715898.1	74.7
NP_009445.2	NP_940980.3	73.6
NP_009445.2	NP_005003.2	60.8
NP_009445.2	NP_005202.2	55.8
NP_009445.2	XP_016866920.1	52.0
NP_009445.2	NP_054700.2	52.0
NP_009445.2	NP_848519.1	50.1
NP_009445.2	NP_055185.2	40.8
NP_009445.2	NP_003233.4	39.7
NP_009445.2	XP_016874709.1	37.7
NP_014760.3	NP_054828.2	161.0
NP_010480.1	NP_006764.3	210.0
NP_010480.1	NP_061955.1	112.0
NP_012761.1	XP_006715898.1	151.0
NP_012761.1	NP_848519.1	137.0
NP_012761.1	XP_016866920.1	97.1
NP_012761.1	NP_113605.2	87.0
NP_012761.1	XP_011530593.1	83.2
NP_012761.1	NP_055185.2	61.6
NP_012761.1	NP_055185.2	37.7
NP_012761.1	NP_003567.2	55.5
NP_012761.1	NP_003233.4	50.4
NP_012761.1	NP_004841.2	48.5
NP_012761.1	NP_006866.2	47.4
NP_012761.1	NP_054700.2	46.6
NP_012761.1	NP_940980.3	45.1
NP_012761.1	NP_005003.2	43.9
NP_012761.1	NP_005202.2	38.9
NP_015196.1	XP_016862299.1	40.0
NP_009718.3	XP_006715898.1	254.0
NP_009718.3	NP_848519.1	204.0
NP_009718.3	XP_016866920.1	103.0
NP_009718.3	XP_011530593.1	91.7
NP_009718.3	NP_003567.2	89.0
NP_009718.3	NP_113605.2	88.6
NP_009718.3	NP_005003.2	69.3
NP_009718.3	NP_054700.2	68.9
NP_009718.3	NP_006866.2	55.5
NP_009718.3	NP_004841.2	54.3
NP_009718.3	NP_055185.2	49.7
NP_009718.3	NP_055185.2	37.7
NP_009718.3	NP_003233.4	48.1
NP_009718.3	NP_940980.3	46.2
NP_009718.3	NP_005202.2	43.5
NP_014156.2	NP_006280.3	75.9
NP_010414.3	XP_016873667.1	70.5
NP_010414.3	XP_016873667.1	50.1
NP_010414.3	NP_079010.2	48.9
NP_009823.2	XP_005269109.1	122.0
NP_009823.2	XP_016885453.1	87.4
NP_009823.2	NP_002856.1	86.7
NP_009823.2	NP_001027004.1	69.3
NP_009823.2	NP_653194.1	52.4
NP_009823.2	NP_940980.3	51.2
NP_013100.1	NP_057104.2	32.3
NP_014101.1	NP_003567.2	194.0
NP_014101.1	NP_113605.2	123.0
NP_014101.1	NP_004841.2	95.1
NP_014101.1	NP_054700.2	83.2
NP_014101.1	XP_011530593.1	80.1
NP_014101.1	XP_006715898.1	72.8
NP_014101.1	NP_940980.3	73.9
NP_014101.1	NP_848519.1	65.1
NP_014101.1	NP_005003.2	65.5
NP_014101.1	NP_006866.2	60.8
NP_014101.1	NP_005202.2	61.6
NP_014101.1	NP_003233.4	57.4
NP_014101.1	XP_016866920.1	55.1
NP_014101.1	NP_055185.2	38.9
NP_010068.1	NP_004634.1	30.4
NP_013378.1	NP_061955.1	432.0
NP_013378.1	NP_006764.3	128.0
NP_013378.1	NP_006764.3	44.3
NP_013503.1	NP_054828.2	53.5
NP_013503.1	NP_054828.2	47.8
NP_013503.1	XP_016883257.1	47.0
NP_013503.1	XP_016883257.1	40.8
NP_010529.3	NP_006764.3	150.0
NP_010529.3	NP_061955.1	119.0
NP_015381.1	XP_011533256.1	30.4
NP_012893.3	NP_003099.1	42.0
NP_012893.3	NP_003099.1	38.5
NP_009381.1	NP_940980.3	42.4
NP_009381.1	NP_003052.2	37.7
NP_009381.1	NP_001005214.2	37.0
NP_011716.3	NP_055317.1	54.7
NP_011716.3	NP_055317.1	38.5
NP_011716.3	NP_055317.1	38.1
NP_011716.3	NP_055317.1	35.8
NP_011716.3	NP_055317.1	35.8
NP_011716.3	NP_055317.1	34.7
NP_011716.3	XP_016880190.1	52.8
NP_011716.3	XP_016880190.1	52.4
NP_011716.3	XP_016880190.1	44.7
NP_011716.3	XP_016880190.1	38.9
NP_011716.3	XP_016880190.1	36.2
NP_011716.3	XP_016880190.1	33.1
NP_011716.3	XP_011543873.1	42.0
NP_011716.3	XP_011543873.1	37.4
NP_011716.3	XP_011543873.1	33.9
NP_011716.3	XP_011543873.1	33.1
NP_011668.3	NP_653194.1	111.0
NP_011668.3	NP_002856.1	99.4
NP_011668.3	XP_016885453.1	92.4
NP_011668.3	XP_005269109.1	88.2
NP_011668.3	NP_001027004.1	62.0
NP_014847.3	NP_006764.3	171.0
NP_014847.3	NP_061955.1	122.0
NP_010991.3	XP_011514491.1	32.7
NP_010991.3	XP_016878827.1	32.7
NP_010991.3	NP_079334.3	31.2
NP_014955.1	NP_002007.1	32.0
NP_015504.1	NP_055317.1	105.0
NP_015504.1	XP_016880190.1	92.4
NP_015504.1	XP_016880190.1	56.6
NP_015504.1	XP_016880190.1	56.2
NP_015504.1	XP_016880190.1	53.9
NP_015504.1	XP_011543873.1	86.3
NP_015504.1	XP_011543873.1	79.3
NP_015504.1	XP_011543873.1	64.3
NP_015504.1	XP_011543873.1	49.3
NP_015504.1	XP_016874612.1	54.7
NP_015504.1	XP_016874612.1	54.3
NP_015504.1	XP_016874612.1	42.4
NP_015504.1	XP_016874612.1	36.6
NP_010413.3	XP_016880190.1	42.7
NP_010413.3	XP_016880190.1	38.5
NP_010413.3	XP_016880190.1	37.4
NP_010413.3	NP_055317.1	39.3
NP_010413.3	XP_016874612.1	38.1
NP_010413.3	XP_016874612.1	34.3
NP_010413.3	XP_011543873.1	34.7
NP_013090.1	XP_011543873.1	52.4
NP_013090.1	XP_011543873.1	51.6
NP_013090.1	XP_011543873.1	34.3
NP_013090.1	NP_055317.1	51.2
NP_013090.1	NP_055317.1	41.6
NP_013090.1	NP_055317.1	40.4
NP_013090.1	XP_016880190.1	44.3
NP_013090.1	XP_016880190.1	43.5
NP_013090.1	XP_016880190.1	42.7
NP_013090.1	XP_016874612.1	36.6
NP_013090.1	NP_060912.2	32.0
NP_013090.1	NP_060912.2	32.0
NP_013090.1	NP_060912.2	31.2
NP_013859.1	XP_006715898.1	129.0
NP_013859.1	NP_848519.1	128.0
NP_013859.1	XP_016866920.1	104.0
NP_013859.1	NP_003567.2	79.0
NP_013859.1	NP_113605.2	75.5
NP_013859.1	NP_004841.2	70.9
NP_013859.1	NP_006866.2	63.5
NP_013859.1	XP_011530593.1	62.8
NP_013859.1	NP_940980.3	47.8
NP_013859.1	NP_003233.4	42.4
NP_013859.1	NP_055185.2	36.2
NP_012755.1	NP_004841.2	203.0
NP_012755.1	NP_113605.2	149.0
NP_012755.1	XP_011530593.1	142.0
NP_012755.1	NP_003567.2	112.0
NP_012755.1	NP_006866.2	94.0
NP_012755.1	NP_940980.3	89.7
NP_012755.1	XP_006715898.1	85.5
NP_012755.1	NP_005003.2	79.7
NP_012755.1	NP_054700.2	70.9
NP_012755.1	XP_016866920.1	65.9
NP_012755.1	NP_005202.2	58.5
NP_012755.1	NP_005202.2	35.8
NP_012755.1	NP_848519.1	55.1
NP_012755.1	NP_055185.2	55.5
NP_012755.1	NP_003233.4	37.7
NP_011336.3	NP_113605.2	136.0
NP_011336.3	XP_011530593.1	107.0
NP_011336.3	NP_004841.2	103.0
NP_011336.3	NP_003567.2	101.0
NP_011336.3	XP_006715898.1	95.1
NP_011336.3	NP_940980.3	70.1
NP_011336.3	NP_006866.2	68.2
NP_011336.3	NP_054700.2	69.3
NP_011336.3	NP_005003.2	66.2
NP_011336.3	NP_848519.1	55.5
NP_011336.3	NP_055185.2	48.9
NP_011336.3	XP_016866920.1	48.9
NP_011336.3	NP_005202.2	45.4
NP_011336.3	NP_005202.2	35.4
NP_011336.3	NP_003233.4	44.3
NP_012229.1	XP_006715898.1	131.0
NP_012229.1	NP_113605.2	74.3
NP_012229.1	NP_006866.2	71.2
NP_012229.1	NP_848519.1	71.2
NP_012229.1	XP_016866920.1	63.5
NP_012229.1	XP_011530593.1	62.4
NP_012229.1	NP_003567.2	62.0
NP_012229.1	NP_004841.2	61.6
NP_012229.1	NP_940980.3	48.5
NP_012229.1	NP_005202.2	38.1
NP_012229.1	NP_005003.2	35.8
NP_009615.1	NP_113605.2	82.8
NP_009615.1	NP_004841.2	71.2
NP_009615.1	NP_006866.2	65.9
NP_009615.1	XP_011530593.1	60.1
NP_009615.1	NP_003567.2	58.5
NP_009615.1	XP_006715898.1	54.7
NP_009615.1	NP_054700.2	45.4
NP_009615.1	XP_016866920.1	43.5
NP_009615.1	NP_940980.3	40.0
NP_009615.1	NP_848519.1	37.0
NP_009615.1	NP_005003.2	37.0
NP_009615.1	NP_005202.2	33.9
NP_014264.1	NP_004108.1	97.8
NP_014264.1	XP_011526165.1	55.1
NP_011796.1	NP_060354.4	82.8
NP_011666.1	NP_056360.2	34.3
NP_014587.1	XP_011514491.1	41.6
NP_014587.1	NP_060693.2	40.8
NP_014587.1	NP_997279.2	40.0
NP_014587.1	NP_057209.3	39.3
NP_014587.1	XP_016869975.1	33.1
NP_014587.1	NP_079334.3	33.1
NP_014704.1	XP_006715898.1	122.0
NP_014704.1	NP_113605.2	94.7
NP_014704.1	NP_848519.1	78.6
NP_014704.1	NP_004841.2	74.7
NP_014704.1	XP_016866920.1	73.2
NP_014704.1	XP_011530593.1	72.4
NP_014704.1	NP_006866.2	67.4
NP_014704.1	NP_003567.2	51.6
NP_014704.1	NP_055185.2	34.3
NP_014704.1	NP_005202.2	33.5
NP_014704.1	NP_005003.2	33.5
NP_014704.1	NP_054700.2	33.1
NP_014704.1	NP_940980.3	33.1
NP_010167.1	NP_065134.1	75.9
NP_010686.1	NP_055317.1	35.4
NP_010686.1	XP_011543873.1	32.3
NP_012728.1	XP_016857697.1	45.8
NP_012728.1	XP_016857697.1	39.7
NP_012728.1	XP_016857697.1	33.9
NP_012728.1	NP_940980.3	44.7
NP_012728.1	NP_003052.2	43.9
NP_012728.1	NP_003052.2	43.5
NP_012728.1	NP_003052.2	41.2
NP_012728.1	NP_003052.2	38.1
NP_012728.1	NP_003052.2	33.1
NP_012728.1	NP_001005214.2	39.3
NP_012728.1	NP_001019849.2	36.6
NP_010811.1	NP_003567.2	256.0
NP_010811.1	NP_004841.2	111.0
NP_010811.1	NP_113605.2	105.0
NP_010811.1	NP_940980.3	94.0
NP_010811.1	XP_011530593.1	86.7
NP_010811.1	XP_006715898.1	84.7
NP_010811.1	NP_005003.2	72.4
NP_010811.1	XP_016866920.1	62.0
NP_010811.1	NP_003233.4	59.7
NP_010811.1	NP_054700.2	57.4
NP_010811.1	NP_005202.2	57.4
NP_010811.1	NP_006866.2	50.1
NP_010811.1	NP_848519.1	48.1
NP_010811.1	NP_055185.2	48.1
NP_012731.1	NP_653248.3	38.1
NP_012731.1	NP_006462.1	33.5
NP_012731.1	XP_016883913.1	29.3
NP_012731.1	XP_016883913.1	28.1
NP_012721.1	NP_002007.1	48.9
NP_012721.1	NP_002007.1	41.2
NP_012721.1	NP_002007.1	41.2
NP_012721.1	NP_002007.1	40.8
NP_012721.1	NP_002007.1	40.4
NP_012721.1	NP_002007.1	39.3
NP_012721.1	NP_002007.1	33.5
NP_012721.1	NP_002007.1	33.1
NP_012721.1	XP_016879582.1	32.7
NP_009636.3	NP_054828.2	149.0
NP_011844.1	NP_004059.2	114.0
NP_011844.1	NP_004059.2	43.9
NP_012954.3	NP_006609.3	36.6
NP_013713.1	XP_016885453.1	198.0
NP_013713.1	NP_002856.1	118.0
NP_013713.1	XP_005269109.1	117.0
NP_013713.1	NP_001027004.1	89.7
NP_013713.1	NP_653194.1	72.0
NP_013713.1	NP_940980.3	52.4
NP_012607.1	NP_680478.1	133.0
NP_116665.1	XP_016875499.1	38.1
NP_116665.1	XP_016875499.1	38.1
NP_010219.1	NP_874356.1	30.8
NP_010277.1	NP_054828.2	195.0
NP_010277.1	NP_054828.2	32.0
NP_010502.3	NP_057079.2	63.2
NP_010502.3	NP_057079.2	51.2
NP_010502.3	XP_011515511.1	63.9
NP_010502.3	XP_011515511.1	56.6
NP_010502.3	XP_011515511.1	52.0
NP_010502.3	XP_011515511.1	51.2
NP_010502.3	XP_011515511.1	49.7
NP_010502.3	XP_011515511.1	48.5
NP_010502.3	XP_011515511.1	46.6
NP_010502.3	XP_011515511.1	45.8
NP_010502.3	XP_011515511.1	45.4
NP_010502.3	XP_011515511.1	42.7
NP_010502.3	XP_011521556.1	60.1
NP_010502.3	XP_011521556.1	53.1
NP_010502.3	XP_011521556.1	49.3
NP_010502.3	XP_011521556.1	46.6
NP_010502.3	XP_011521556.1	44.3
NP_010502.3	XP_011521556.1	34.3
NP_010502.3	XP_011521556.1	33.5
NP_010502.3	XP_016882800.1	56.2
NP_010502.3	XP_016882800.1	52.4
NP_010502.3	XP_016882800.1	50.1
NP_010502.3	XP_016882800.1	47.8
NP_010502.3	XP_016882800.1	47.8
NP_010502.3	XP_016882800.1	39.3
NP_010502.3	XP_016882800.1	39.3
NP_010502.3	NP_065703.1	53.9
NP_010502.3	NP_065703.1	49.7
NP_010502.3	NP_065703.1	48.9
NP_010502.3	NP_065703.1	47.4
NP_010502.3	NP_065703.1	45.4
NP_010502.3	NP_065703.1	45.1
NP_010502.3	NP_065703.1	40.8
NP_010502.3	NP_065703.1	35.8
NP_010502.3	NP_009066.2	53.5
NP_010502.3	NP_009066.2	53.1
NP_010502.3	NP_009066.2	50.4
NP_010502.3	NP_009066.2	48.1
NP_010502.3	NP_009066.2	47.8
NP_010502.3	NP_009066.2	47.8
NP_010502.3	NP_009066.2	44.3
NP_010502.3	NP_009066.2	44.3
NP_010502.3	NP_009066.2	43.9
NP_010502.3	XP_005270393.1	51.6
NP_010502.3	XP_005270393.1	47.4
NP_010502.3	XP_005270393.1	42.4
NP_010502.3	XP_005270393.1	40.4
NP_010502.3	XP_005270393.1	38.9
NP_010502.3	XP_005270393.1	37.0
NP_010502.3	XP_011540390.1	52.0
NP_010502.3	XP_011540390.1	52.0
NP_010502.3	XP_011540390.1	45.1
NP_010502.3	XP_011540390.1	43.1
NP_010502.3	XP_011540390.1	40.0
NP_010502.3	XP_011540390.1	39.7
NP_010502.3	XP_011540390.1	39.7
NP_010502.3	XP_011540390.1	36.6
NP_010502.3	XP_011540390.1	36.2
NP_010502.3	XP_011540390.1	34.3
NP_010502.3	XP_006722724.1	51.6
NP_010502.3	XP_006722724.1	49.3
NP_010502.3	XP_006722724.1	48.5
NP_010502.3	XP_006722724.1	43.1
NP_010502.3	XP_006722724.1	42.4
NP_010502.3	XP_006722724.1	41.6
NP_010502.3	XP_006722724.1	41.2
NP_010502.3	XP_006722724.1	38.5
NP_010502.3	XP_006722724.1	36.6
NP_010502.3	XP_006722724.1	32.7
NP_010502.3	NP_689475.1	49.7
NP_010502.3	NP_689475.1	46.2
NP_010502.3	NP_689475.1	43.1
NP_010502.3	NP_689475.1	39.3
NP_010502.3	NP_689475.1	38.5
NP_010502.3	NP_689475.1	35.0
NP_010502.3	NP_689475.1	32.7
NP_010502.3	XP_016862620.1	49.7
NP_010502.3	XP_016862620.1	48.9
NP_010502.3	XP_016862620.1	48.9
NP_010502.3	XP_016862620.1	48.9
NP_010502.3	XP_016862620.1	44.7
NP_010502.3	XP_016862620.1	44.3
NP_010502.3	XP_016862620.1	42.4
NP_010502.3	XP_016862620.1	33.9
NP_010502.3	NP_597731.2	48.5
NP_010502.3	NP_597731.2	46.2
NP_010502.3	NP_597731.2	45.4
NP_010502.3	NP_597731.2	45.1
NP_010502.3	NP_597731.2	43.1
NP_010502.3	NP_597731.2	43.1
NP_010502.3	NP_597731.2	43.1
NP_010502.3	NP_597731.2	43.1
NP_010502.3	NP_597731.2	42.7
NP_010502.3	NP_597731.2	42.4
NP_010502.3	NP_597731.2	42.0
NP_010502.3	NP_597731.2	40.4
NP_010502.3	NP_597731.2	38.9
NP_010502.3	NP_597731.2	38.9
NP_010502.3	NP_597731.2	35.8
NP_010502.3	NP_597731.2	34.3
NP_010502.3	NP_597731.2	33.5
NP_010502.3	NP_597731.2	33.5
NP_010502.3	NP_597731.2	33.5
NP_010502.3	NP_597731.2	33.5
NP_010502.3	NP_079388.3	44.3
NP_010502.3	NP_079388.3	36.6
NP_010502.3	NP_079388.3	34.7
NP_010502.3	NP_079388.3	34.3
NP_010502.3	NP_671726.2	42.4
NP_010502.3	NP_671726.2	38.1
NP_010502.3	XP_016883850.1	37.0
NP_010502.3	XP_016883850.1	35.4
NP_010159.1	NP_003730.4	119.0
NP_013646.1	XP_016863472.1	31.6
NP_013309.1	XP_016880190.1	71.2
NP_013309.1	XP_016880190.1	36.6
NP_013309.1	XP_011543873.1	47.0
NP_013309.1	XP_011543873.1	45.1
NP_013309.1	XP_011543873.1	40.8
NP_013309.1	XP_016874612.1	44.3
NP_013309.1	XP_016874612.1	41.6
NP_013309.1	NP_055317.1	34.7
NP_013847.1	NP_004932.1	204.0
NP_013847.1	NP_004932.1	195.0
NP_012266.1	NP_004634.1	88.6
NP_012266.1	XP_016878827.1	32.0
NP_012711.1	XP_011508946.1	34.3
NP_010213.1	NP_054828.2	50.4
NP_010213.1	NP_054828.2	42.4
NP_010213.1	XP_016883257.1	46.6
NP_010213.1	XP_016883257.1	40.8
NP_014519.1	XP_016874844.1	175.0
NP_116669.1	XP_011530593.1	201.0
NP_116669.1	NP_113605.2	161.0
NP_116669.1	NP_006866.2	110.0
NP_116669.1	NP_003567.2	104.0
NP_116669.1	NP_004841.2	92.8
NP_116669.1	NP_940980.3	89.0
NP_116669.1	XP_006715898.1	81.3
NP_116669.1	XP_016866920.1	63.2
NP_116669.1	NP_005003.2	59.3
NP_116669.1	NP_054700.2	55.8
NP_116669.1	NP_848519.1	54.7
NP_116669.1	NP_003233.4	51.6
NP_116669.1	NP_005202.2	45.4
NP_116669.1	NP_005202.2	43.1
NP_116669.1	NP_055185.2	34.3
NP_116669.1	NP_055185.2	32.0
NP_116669.1	NP_612379.2	31.2
NP_010676.1	NP_001657.3	48.1
NP_012709.1	XP_016880190.1	86.3
NP_012709.1	XP_016880190.1	69.7
NP_012709.1	XP_016880190.1	41.2
NP_012709.1	XP_011543873.1	58.5
NP_012709.1	XP_011543873.1	54.7
NP_012709.1	NP_055317.1	55.5
NP_012709.1	NP_055317.1	46.2
NP_012709.1	XP_016874612.1	43.9
NP_012709.1	NP_001025126.2	37.0
NP_012709.1	NP_060912.2	34.7
NP_010368.5	NP_060322.1	31.6
NP_013950.1	XP_016875499.1	132.0
NP_013950.1	XP_016875499.1	38.5
NP_012529.3	NP_940980.3	60.5
NP_012529.3	NP_940980.3	60.1
NP_012529.3	NP_940980.3	55.8
NP_012529.3	NP_003052.2	50.1
NP_012529.3	NP_003052.2	49.3
NP_012529.3	NP_003052.2	45.8
NP_012529.3	NP_003052.2	33.1
NP_012529.3	XP_016857697.1	48.1
NP_012529.3	XP_016857697.1	41.6
NP_012529.3	NP_001019849.2	38.5
NP_010361.3	XP_011520163.1	32.3
NP_009661.1	XP_011543873.1	152.0
NP_009661.1	XP_016880190.1	57.4
NP_009661.1	XP_016880190.1	50.8
NP_009661.1	XP_016880190.1	43.9
NP_009661.1	XP_016880190.1	41.2
NP_009661.1	NP_055317.1	54.3
NP_009661.1	NP_055317.1	48.1
NP_009661.1	NP_055317.1	35.4
NP_009661.1	XP_016874612.1	37.4
NP_009661.1	XP_016874612.1	32.3
NP_009661.1	NP_060912.2	37.4
NP_009661.1	NP_060912.2	35.0
NP_014551.1	NP_004841.2	33.5
NP_012371.2	NP_004841.2	210.0
NP_012371.2	NP_113605.2	148.0
NP_012371.2	XP_011530593.1	137.0
NP_012371.2	NP_003567.2	108.0
NP_012371.2	NP_006866.2	94.0
NP_012371.2	NP_940980.3	87.4
NP_012371.2	XP_006715898.1	80.5
NP_012371.2	NP_005003.2	72.4
NP_012371.2	XP_016866920.1	68.9
NP_012371.2	NP_054700.2	68.6
NP_012371.2	NP_005202.2	59.3
NP_012371.2	NP_005202.2	37.0
NP_012371.2	NP_848519.1	54.3
NP_012371.2	NP_055185.2	52.0
NP_012371.2	NP_003233.4	39.7
NP_009546.1	NP_909119.1	32.3
NP_009546.1	NP_909119.1	32.3
NP_013350.1	NP_002849.1	45.4
NP_013350.1	NP_002849.1	43.5
NP_013350.1	NP_002849.1	33.9
NP_012394.1	XP_016866920.1	181.0
NP_012394.1	XP_006715898.1	107.0
NP_012394.1	NP_055185.2	91.7
NP_012394.1	NP_055185.2	56.6
NP_012394.1	NP_848519.1	78.6
NP_012394.1	XP_011530593.1	79.0
NP_012394.1	NP_003567.2	76.3
NP_012394.1	NP_113605.2	72.8
NP_012394.1	NP_004841.2	62.4
NP_012394.1	NP_006866.2	54.7
NP_012394.1	NP_005003.2	46.2
NP_012394.1	NP_940980.3	45.8
NP_012394.1	NP_005202.2	43.9
NP_010720.3	XP_016878827.1	50.1
NP_010720.3	NP_037418.3	36.6
NP_012154.1	XP_005259070.1	57.8
NP_012154.1	XP_005259070.1	50.8
NP_012154.1	XP_005259070.1	42.0
NP_012154.1	XP_005259070.1	40.4
NP_012154.1	XP_005259070.1	40.0
NP_012154.1	XP_011516141.1	48.1
NP_012154.1	XP_011516141.1	45.4
NP_012154.1	XP_011516141.1	39.3
NP_012154.1	NP_057197.2	46.2
NP_012154.1	NP_002494.2	42.7
NP_012154.1	NP_570124.1	39.7
NP_012154.1	NP_570124.1	39.3
NP_012154.1	NP_570124.1	37.7
NP_012154.1	NP_570124.1	35.4
NP_014533.1	NP_001657.3	30.4
NP_010086.2	XP_016874612.1	42.4
NP_010086.2	XP_016874612.1	39.3
NP_010086.2	XP_016874612.1	35.8
NP_010086.2	XP_011543873.1	40.0
NP_010086.2	NP_055317.1	34.3
NP_010086.2	NP_940857.2	32.7
NP_012218.1	XP_016880190.1	143.0
NP_012218.1	XP_016880190.1	89.4
NP_012218.1	XP_016880190.1	75.9
NP_012218.1	XP_016880190.1	70.5
NP_012218.1	XP_011543873.1	102.0
NP_012218.1	XP_011543873.1	54.7
NP_012218.1	XP_011543873.1	33.9
NP_012218.1	NP_055317.1	73.2
NP_012218.1	NP_055317.1	67.8
NP_012218.1	NP_055317.1	53.9
NP_012218.1	NP_758954.1	55.1
NP_012218.1	NP_036312.2	47.0
NP_012218.1	XP_016874612.1	41.6
NP_012218.1	XP_016874612.1	38.5
NP_012218.1	NP_001025126.2	34.7
NP_012218.1	NP_001025126.2	34.3
NP_012218.1	NP_036291.2	33.5
NP_012777.1	NP_054828.2	184.0
NP_014753.1	NP_116262.2	36.2
NP_009997.2	XP_016880190.1	134.0
NP_009997.2	XP_016880190.1	120.0
NP_009997.2	XP_016880190.1	92.4
NP_009997.2	XP_011543873.1	110.0
NP_009997.2	XP_011543873.1	97.4
NP_009997.2	XP_011543873.1	60.1
NP_009997.2	NP_055317.1	79.3
NP_009997.2	NP_055317.1	75.9
NP_009997.2	XP_016874612.1	57.0
NP_009997.2	XP_016874612.1	52.8
NP_009997.2	XP_016874612.1	52.4
NP_009997.2	XP_016874612.1	46.6
NP_009997.2	XP_016874612.1	41.6
NP_009997.2	XP_016874612.1	33.9
NP_009997.2	NP_060912.2	36.6
NP_009997.2	NP_060912.2	32.7
NP_010795.3	NP_113605.2	225.0
NP_010795.3	XP_011530593.1	174.0
NP_010795.3	NP_004841.2	139.0
NP_010795.3	NP_006866.2	120.0
NP_010795.3	NP_003567.2	100.0
NP_010795.3	XP_006715898.1	95.1
NP_010795.3	NP_940980.3	73.2
NP_010795.3	XP_016866920.1	65.5
NP_010795.3	NP_848519.1	62.8
NP_010795.3	NP_005003.2	60.5
NP_010795.3	NP_054700.2	60.1
NP_010795.3	NP_005202.2	48.9
NP_010795.3	NP_005202.2	33.5
NP_010795.3	NP_003233.4	41.2
NP_010795.3	NP_055185.2	34.3
NP_010795.3	NP_005210.3	33.1
NP_010227.1	NP_004998.3	38.5
NP_010227.1	NP_570124.1	38.1
NP_012668.3	NP_620137.2	31.6
NP_013810.1	NP_055317.1	43.1
NP_013810.1	XP_011543873.1	40.8
NP_013810.1	XP_011543873.1	36.2
NP_013810.1	XP_016880190.1	38.5
NP_013810.1	XP_016880190.1	36.2
NP_012338.1	XP_016875499.1	80.9
NP_012338.1	XP_016875499.1	60.1
NP_011718.1	NP_005008.2	239.0
NP_014245.1	NP_004841.2	50.1
NP_014245.1	NP_006866.2	49.3
NP_014245.1	XP_011530593.1	48.5
NP_014245.1	NP_003567.2	46.2
NP_014245.1	NP_113605.2	46.2
NP_014245.1	XP_006715898.1	42.7
NP_014245.1	NP_848519.1	36.2
NP_014245.1	XP_016866920.1	34.3
NP_014245.1	NP_055185.2	32.7
NP_015470.1	NP_076983.1	218.0
NP_013772.1	NP_057100.1	63.9
NP_013772.1	NP_036272.2	57.8
NP_013772.1	NP_036272.2	50.4
NP_013772.1	NP_036272.2	42.4
NP_012604.1	NP_112594.1	249.0
NP_012604.1	NP_112594.1	114.0
NP_012501.1	NP_006764.3	332.0
NP_012501.1	NP_061955.1	138.0
NP_011895.1	XP_006715898.1	168.0
NP_011895.1	NP_848519.1	146.0
NP_011895.1	XP_016866920.1	122.0
NP_011895.1	XP_011530593.1	80.1
NP_011895.1	NP_113605.2	76.6
NP_011895.1	NP_004841.2	69.3
NP_011895.1	NP_003567.2	68.2
NP_011895.1	NP_940980.3	63.9
NP_011895.1	NP_006866.2	57.0
NP_011895.1	NP_055185.2	54.3
NP_011895.1	NP_055185.2	37.7
NP_011895.1	NP_054700.2	50.4
NP_011895.1	NP_005003.2	50.4
NP_011895.1	NP_005202.2	49.3
NP_011895.1	NP_003233.4	43.5
NP_012488.3	XP_011535825.1	37.0
NP_011399.1	XP_016880190.1	53.5
NP_011399.1	XP_016880190.1	37.7
NP_011399.1	XP_011543873.1	46.2
NP_011399.1	XP_016874612.1	40.8
NP_011399.1	NP_055317.1	39.3
NP_011399.1	NP_055317.1	35.8
NP_011399.1	NP_055317.1	34.3
NP_010398.3	NP_056360.2	30.4
NP_011786.1	NP_054828.2	471.0
NP_011786.1	NP_054828.2	39.7
NP_010948.1	NP_002856.1	184.0
NP_010948.1	XP_005269109.1	153.0
NP_010948.1	XP_016885453.1	135.0
NP_010948.1	NP_001027004.1	120.0
NP_010948.1	NP_653194.1	67.4
NP_010948.1	NP_940980.3	50.4
NP_014033.1	XP_016875499.1	71.2
NP_014033.1	XP_016875499.1	33.1
NP_013795.1	NP_054828.2	42.0
NP_010143.1	XP_016874336.1	150.0
NP_012602.3	NP_054828.2	33.9
NP_010854.1	NP_004707.2	47.4
NP_014496.2	NP_066963.2	35.0
NP_014496.2	NP_066963.2	33.5
NP_014496.2	NP_004108.1	32.7
